pubchem_id,fema_flavor_profile
8907,Not Available
8908,"Apple, Banana, Grass, Herb, Pear"
8914,"Fat, Floral, Green, Oil"
8918,Fruit
9012,Savory
9016,Green
9017,"Dust, Floral, Fragrant, Rose"
9020,Not Available
9024,Floral
9025,Spice
9256,Pyridine
9261,Not Available
9473,Floral
9589,Savory
9609,"Coffee, Meat"
9862,"Citrus, Mushroom, Pepper, Rubber, Strawberry"
9895,Not Available
10037,Not Available
10106,"Cool, Spice"
10225,Not Available
10231,Not Available
10281,Not Available
10282,Herb
10329,Not Available
10341,Not Available
10362,Floral
10364,"Caraway, Spice, Thyme"
10402,Floral
10405,Not Available
10408,Not Available
10430,"Cheese, Pungent"
10448,"Earth, Garlic, Potato, Soy"
10452,Not Available
10453,Not Available
10484,Savory
10558,Savory
10582,"Mint, Cool"
10657,Not Available
10659,Not Available
10698,Not Available
10703,Not Available
10778,Fruit
10795,Not Available
10797,Not Available
10812,Not Available
10817,Floral
10819,"Fat, Green, Pungent"
10823,Nuts
10873,Fruit
10882,"Apple, Dry Fish, Herb, Nut, Yeast"
10883,Fruit
10885,Fruit
10886,"Floral, Fresh, Rose"
10890,Banana
10895,Fruit
10902,Savory
10925,Savory
10927,Nuts
10931,Green
10943,Not Available
10947,Floral
10957,Floral
10966,Savory
10976,"Citrus, Earth, Fried, Mushroom, Oil"
10979,Not Available
11002,Green
11005,"Burnt, Cheese, Harsh, Oil"
11006,Not Available
11038,Floral
11039,"Flower, Fruit"
11086,Not Available
11124,"Fruit, Rum"
11142,Not Available
11160,"Apple, Fruit, Pineapple"
11167,Savory
11173,"Cooked Nut, Fruit, Herb, Oil"
11176,Fruit
11230,"Earth, Must, Nutmeg, Wood"
11335,"Cresol, Phenol"
11340,Floral
11363,Savory
11370,Spice
11419,"Mint, Cool"
11449,Green
11461,Spice
11463,Pine
11468,Not Available
11508,Fruit
11509,Grape
11514,Fruit
11520,Herb
11523,Not Available
11525,Not Available
11527,"Citrus, Moss, Mushroom, Nut, Oil"
11529,"Red Fruit, Strawberry"
11552,Not Available
11559,Floral
11567,"Mint, Cool"
11576,Fruit
11579,Fruit
11613,"Green, Pungent, Sulfur"
11614,Fruit
11617,Savory
11622,Savory
11635,Not Available
11686,Not Available
11732,Not Available
11747,Not Available
11902,Fruit
11982,Savory
12020,"Butter, Fish, Green, Oxidized, Wet Earth"
12025,Not Available
12041,Floral
12044,Fruit
12072,Not Available
12097,Not Available
12105,Not Available
12146,Fruit
12150,Not Available
12170,Fruit
12178,"Solvent, Spice, Wine"
12180,"Apple, Banana, Cheese, Ester, Floral"
12206,Fruit
12209,"Apple, Banana, Pear"
12230,"Garlic, Sulfur"
12232,"Cabbage, Garlic, Onion"
12247,Not Available
12256,Not Available
12257,Fruit
12264,Not Available
12266,Savory
12278,Fruit
12293,"Berry, Fruit, Petrol, Pineapple, Roasted Garlic"
12294,"Fruit, Grass, Green"
12327,"Coconut, Cognac"
12344,Dairy
12366,Wax
12367,Cucumber
12377,"Cooked Meat, Garlic, Onion, Pungent, Sulfur"
12388,Not Available
12389,Not Available
12391,Not Available
12395,Not Available
12397,Not Available
12398,Not Available
12401,Not Available
12403,Not Available
12406,Not Available
12506,Savory
12507,Not Available
12508,Fruit
12518,Savory
12523,Not Available
12529,Fruit
12530,Not Available
12534,Not Available
12566,Spice
12570,Not Available
12571,Fruit
12578,Spice
12580,Not Available
12581,Not Available
12587,Floral
12592,Not Available
12613,Green
12729,Green
12741,"Fat, Fruit"
12748,"Green, Nut, Roasted Meat"
12756,Onion
12777,"Coconut, Peach"
12779,Savory
12780,Spice
12810,Coconut
12813,"Fat, Fruit, Lactone, Peach"
12844,Fruit
12997,Not Available
13016,Savory
13187,"Fragrant, Fruit, Green, Hot Milk"
13204,Spice
13233,"Camphor, Earth, Sulfur"
13357,"Apple, Fruit, Green Apple, Strawberry"
13367,Savory
13436,Savory
13561,Not Available
13572,Not Available
13576,Fruit
13587,Not Available
13621,Not Available
13654,Fruit
13849,Not Available
13854,Not Available
14079,"Bread, Cocoa, Hazelnut, Licorice, Walnut"
14092,Not Available
14104,Floral
14228,"Green, Herb, Oil"
14286,"Popcorn, Roasted Nut"
14295,Floral
14296,"Cocoa, Coffee, Green, Mocha, Roast"
14475,Dairy
14489,Putty
14491,Savory
14493,Savory
14504,Nuts
14505,"Balsamic, Cocoa, Coffee"
14511,Savory
14514,"Nut, Vegetable"
14529,Not Available
14896,"Pine, Polish, Wood"
14922,Not Available
14928,Not Available
14950,Not Available
15037,"Cocoa, Green, Roast"
15172,Fruit
15268,Not Available
15269,Not Available
15286,Not Available
15336,Fruit
15380,"Garlic, Sulfur"
15394,"Fish, Green, Mustard, Pungent"
15406,"Camphor, Lemon"
15422,Savory
15448,Fruit
15450,Not Available
15504,Not Available
15510,Savory
15571,Not Available
15600,Not Available
15606,"Coconut, Floral, Fruit"
15654,"Cocoa, Fat, Nut, Popcorn, Roast"
15717,Floral
15877,Savory
15979,Not Available
16237,"Flower, Honey"
16255,Fruit
16315,Savory
16324,Fruit
16330,Spice
16331,Fruit
16418,Savory
16441,"Cherry, Fat, Green, Pungent, Sour, Spice"
16537,"Citrus, Herb"
16582,Fruit
16590,Garlic
16591,Green
16592,"Onion, Penetrating, Sulfur"
16617,"Anise, Fruit, Spice"
16666,"Mint, Cool"
16741,Green
16800,Fat
16821,"Apricot, Flower, Fruit, Peach"
16832,Fresh
16835,Not Available
16846,Fruit
16872,Fruit
16997,Not Available
17000,Floral
17008,Fruit
17016,Not Available
17029,Dairy
17100,"Anise, Fresh, Mint, Oil"
17121,Not Available
17129,"Apple, Berry, Rum"
17356,Savory
17525,"Apple Peel, Citrus, Fresh"
17586,Floral
17617,Pineapple
17623,Fruit
17691,Fruit
17739,"Clove, Phenol"
17816,Fruit
17898,Not Available
17899,Not Available
18467,Nuts
18522,Nuts
18554,"Butter, Caramel"
18635,"Cooked potato, Soy"
18686,Fruit
18698,Dairy
18815,Not Available
18818,Not Available
18827,"Cucumber, Earth, Fat, Floral, Mushroom"
18938,Green
19089,Floral
19137,Fruit
19188,Not Available
19233,Not Available
19309,"Burnt, Caramel, Cotton Candy, Honey"
19310,"Cabbage, Fish, Onion, Sulfur"
19315,Not Available
19602,"Butter, Floral, Fruit, Green Bean"
19603,Not Available
19707,Savory
20083,"Fat, Mushroom"
20149,Not Available
20219,Fruit
20357,Green
20358,Fruit
20487,Dairy
20499,Not Available
20534,Wet Hay
20653,Dairy
20748,"Ester, Fruit"
20799,Green
20819,Not Available
20861,Not Available
20928,Green
20995,"Fruit, Wood"
21057,Savory
21059,Fruit
21108,Baked
21265,Fruit
21363,Floral
21574,Green
21596,Fruit
21625,Savory
21648,"Citrus, Raspberry"
21712,Not Available
21828,Sulfur
21895,Floral
22201,"Caramel, Cocoa, Hazelnut, Peanut Butter, Roasted"
22310,Floral
22311,Not Available
22383,Garlic
22386,"Fusel Oil, Green"
22873,"Apple Peel, Peach, Plum"
23110,Savory
23235,Savory
23367,Fruit
23535,Floral
23642,Savory
24020,"Apple, Ester, Green Apple, Kiwi, Strawberry"
24114,Dairy
24115,Dairy
24116,Green
24117,Fruit
24197,Brown Sugar
24433,Fruit
24456,Not Available
24473,Spice
24510,Floral
24513,Fruit
24515,Fruit
24516,Green
24583,Floral
24699,Dairy
24748,Not Available
24834,Floral
24835,Heat
24838,Strawberry
24874,Not Available
24915,Floral
24968,Not Available
25311,Not Available
25611,Green
25793,Not Available
25915,"Fruit, Green"
26049,Lemon
26058,Not Available
26204,Fruit
26331,"Burnt, Green, Iron Scorch, Must, Peanut Butter, Roasted, Rum, Wood"
26332,"Green, Nuts, Roasted"
26333,Green
26334,Not Available
26335,Savory
26808,"Cocoa, Earth, Must, Potato, Roast"
27208,Not Available
27209,Fruit
27440,Savory
27457,"Green, Must, Nut, Potato, Roasted"
27458,"Cereal, Hazelnut, Meat, Nut"
27866,Green
27867,Not Available
27892,Not Available
28905,"Earth, Meat, Potato, Roast"
28906,"Baked, Cocoa, Roast, Rum"
29025,Green
29995,Not Available
30215,Not Available
30231,Not Available
30248,"Camphor, Mint"
30771,Floral
30914,"Roast, Roasted Corn, Toasted Cereal"
30945,Not Available
31209,Fruit
31210,Floral
31211,Heat
31219,Fruit
31225,Floral
31226,Floral
31229,Not Available
31231,Herb
31234,"Arise, Cinnamon, Fruit"
31237,Not Available
31242,"Leather, Phenol, Spice, Stable"
31244,"Almond, Anise, Mint"
31245,Green
31246,Fruit
31249,"Cotton, Fabric, Floral, Fruit, Wine"
31251,Floral
31252,"Cocoa, Roast Beef, Roasted Nut"
31253,"Balsamic, Fruit, Geranium, Herb, Must"
31256,Not Available
31260,"Burnt, Cocoa, Floral, Malt"
31264,Not Available
31265,"Apple Peel, Brandy, Fruit Gum, Overripe Fruit, Pineapple"
31266,Pineapple
31268,Not Available
31272,"Apple, Banana, Glue, Pungent"
31276,"Apple, Banana, Glue, Pear"
31278,Dairy
31283,Wax
31284,"Fat, Orris"
31289,"Fat, Floral, Green, Lemon"
31291,Not Available
31340,Not Available
31353,Floral
31404,Toasted Cereal
31408,Not Available
31492,"Green, Mold, Wood"
32033,Savory
32065,"Nuts, Peanut, Roast"
32093,Not Available
32594,"Bell Pepper, Earth, Green Pepper, Spice"
33022,Not Available
33032,Savory
33166,Not Available
33637,"Flower, Walnut, Warm"
33645,"Durian, Sulfur"
33931,Not Available
33934,Not Available
33960,Dairy
34134,Cucumber
34286,"Fried, Nut, Potato, Roasted Meat"
34590,Savory
34645,"Mint, Cool"
35349,Green
35821,Fruit
36225,Savory
36822,Savory
