Recipe ID,Recipe Name,shared_molecule_Compound_ID,Compound_CAS_Number
R000001,Chicken Tikka Masala,460,97-61-0
R000001,Chicken Tikka Masala,461,562-74-3
R000001,Chicken Tikka Masala,974,75-07-0
R000001,Chicken Tikka Masala,466,108-39-4
R000001,Chicken Tikka Masala,675,18409-17-1
R000001,Chicken Tikka Masala,468,112-17-4
R000001,Chicken Tikka Masala,761,928-96-1
R000001,Chicken Tikka Masala,980,6032-29-7
R000001,Chicken Tikka Masala,985,100-42-5
R000001,Chicken Tikka Masala,990,620-02-0
R000001,Chicken Tikka Masala,800,109-94-4
R000001,Chicken Tikka Masala,996,26489-01-0
R000001,Chicken Tikka Masala,490,7783-06-04
R000001,Chicken Tikka Masala,1004,123-38-6
R000001,Chicken Tikka Masala,1011,499-75-2
R000001,Chicken Tikka Masala,1012,99-87-6
R000001,Chicken Tikka Masala,1013,110-62-3
R000001,Chicken Tikka Masala,1015,106-25-2
R000001,Chicken Tikka Masala,504,138-87-4
R000001,Chicken Tikka Masala,1018,112-37-8
R000001,Chicken Tikka Masala,1022,104-55-2
R000002,Black Peas,519,93-58-3
R000002,Black Peas,524,124-07-2
R000002,Black Peas,1040,60-12-8
R000002,Black Peas,1049,67-63-0
R000002,Black Peas,539,227456-28-2
R000002,Black Peas,1054,2463-63-0
R000002,Black Peas,37,122-00-9
R000002,Black Peas,550,13925-00-3
R000002,Black Peas,40,109-08-0
R000002,Black Peas,554,124-19-6
R000002,Black Peas,556,123-32-0
R000002,Black Peas,1069,515-00-4
R000002,Black Peas,50,110-45-2
R000002,Black Peas,947,556-82-1
R000002,Black Peas,1082,143-08-8
R000002,Black Peas,62,142-83-6
R000002,Black Peas,63,625-33-2
R000002,Black Peas,1092,99-85-4
R000002,Black Peas,69,3301-94-8
R000002,Black Peas,586,78-70-6
R000002,Black Peas,76,21662-13-5
R000002,Black Peas,1102,543-49-7
R000002,Black Peas,1104,90-05-1
R000002,Black Peas,595,111-13-7
R000002,Black Peas,599,75-18-3
R000002,Black Peas,600,71-23-8
R000002,Black Peas,602,470-82-6
R000002,Black Peas,610,142-92-7
R000002,Black Peas,101,87-44-5
R000002,Black Peas,107,1072-83-9
R000002,Black Peas,620,94-59-7
R000002,Black Peas,628,99-86-5
R000002,Black Peas,118,821-55-6
R000002,Black Peas,121,98-85-1
R000002,Black Peas,643,91-10-1
R000002,Black Peas,136,123-51-3
R000002,Black Peas,137,2396-78-3
R000002,Black Peas,143,35044-68-9
R000002,Black Peas,657,124-13-0
R000002,Black Peas,670,112-31-2
R000002,Black Peas,675,18409-17-1
R000002,Black Peas,165,97-53-0
R000002,Black Peas,171,79-92-5
R000002,Black Peas,177,127-91-3
R000002,Black Peas,183,141-79-7
R000002,Black Peas,703,98-01-1
R000002,Black Peas,704,10482-56-1
R000002,Black Peas,198,109-52-4
R000002,Black Peas,199,2463-77-6
R000002,Black Peas,972,1669-44-9
R000002,Black Peas,203,3391-86-4
R000002,Black Peas,719,79-09-4
R000002,Black Peas,890,14667-55-1
R000002,Black Peas,734,122-78-1
R000002,Black Peas,549,503-74-2
R000002,Black Peas,737,103-82-2
R000002,Black Peas,229,57-10-3
R000002,Black Peas,742,74-93-1
R000002,Black Peas,1064,108-95-2
R000002,Black Peas,243,142-62-1
R000002,Black Peas,249,110-86-1
R000002,Black Peas,764,96-17-3
R000002,Black Peas,811,544-63-8
R000002,Black Peas,772,590-86-3
R000002,Black Peas,273,80-26-2
R000002,Black Peas,786,616-25-1
R000002,Black Peas,275,143-07-7
R000002,Black Peas,793,99-83-2
R000002,Black Peas,798,111-27-3
R000002,Black Peas,292,111-87-5
R000002,Black Peas,806,78-83-1
R000002,Black Peas,295,93-15-2
R000002,Black Peas,299,112-05-0
R000002,Black Peas,813,698-76-0
R000002,Black Peas,818,3188-00-9
R000002,Black Peas,827,497-03-0
R000002,Black Peas,317,141-78-6
R000002,Black Peas,322,67-64-1
R000002,Black Peas,836,7786-61-0
R000002,Black Peas,847,119-36-8
R000002,Black Peas,338,98-00-0
R000002,Black Peas,340,90-12-0
R000002,Black Peas,346,23696-85-7
R000002,Black Peas,867,101-41-7
R000002,Black Peas,358,334-48-5
R000002,Black Peas,361,586-62-9
R000002,Black Peas,378,546-79-2
R000002,Black Peas,893,600-14-6
R000002,Black Peas,384,116-53-0
R000002,Black Peas,909,110-43-0
R000002,Black Peas,911,1122-62-9
R000002,Black Peas,400,111-70-6
R000002,Black Peas,918,107-87-9
R000002,Black Peas,920,2628-17-3
R000002,Black Peas,410,25152-84-5
R000002,Black Peas,926,108-50-9
R000002,Black Peas,415,127-41-3
R000002,Black Peas,419,64-17-5
R000002,Black Peas,424,3777-69-3
R000002,Black Peas,426,89-83-8
R000002,Black Peas,434,115-95-7
R000002,Black Peas,435,36653-82-4
R000002,Black Peas,442,7212-44-4
R000002,Black Peas,445,123-15-9
R000002,Black Peas,460,97-61-0
R000002,Black Peas,974,75-07-0
R000002,Black Peas,978,106-68-3
R000002,Black Peas,980,6032-29-7
R000002,Black Peas,761,928-96-1
R000002,Black Peas,985,100-42-5
R000002,Black Peas,990,620-02-0
R000002,Black Peas,490,7783-06-04
R000002,Black Peas,1004,123-38-6
R000002,Black Peas,1011,499-75-2
R000002,Black Peas,1012,99-87-6
R000002,Black Peas,1013,110-62-3
R000002,Black Peas,1023,623-36-9
R000003,Bangers and mash,512,123-29-5
R000003,Bangers and mash,519,93-58-3
R000003,Bangers and mash,524,124-07-2
R000003,Bangers and mash,1040,60-12-8
R000003,Bangers and mash,1046,513-86-0
R000003,Bangers and mash,1049,67-63-0
R000003,Bangers and mash,539,227456-28-2
R000003,Bangers and mash,1054,2463-63-0
R000003,Bangers and mash,549,503-74-2
R000003,Bangers and mash,550,13925-00-3
R000003,Bangers and mash,40,109-08-0
R000003,Bangers and mash,554,124-19-6
R000003,Bangers and mash,556,123-32-0
R000003,Bangers and mash,1069,515-00-4
R000003,Bangers and mash,922,104-76-7
R000003,Bangers and mash,947,556-82-1
R000003,Bangers and mash,1064,108-95-2
R000003,Bangers and mash,56,123-92-2
R000003,Bangers and mash,1082,143-08-8
R000003,Bangers and mash,62,142-83-6
R000003,Bangers and mash,1091,93-89-0
R000003,Bangers and mash,1092,99-85-4
R000003,Bangers and mash,69,3301-94-8
R000003,Bangers and mash,586,78-70-6
R000003,Bangers and mash,1101,6789-88-4
R000003,Bangers and mash,1102,543-49-7
R000003,Bangers and mash,1104,90-05-1
R000003,Bangers and mash,595,111-13-7
R000003,Bangers and mash,599,75-18-3
R000003,Bangers and mash,600,71-23-8
R000003,Bangers and mash,602,470-82-6
R000003,Bangers and mash,954,106-24-1
R000003,Bangers and mash,606,103-45-7
R000003,Bangers and mash,107,1072-83-9
R000003,Bangers and mash,620,94-59-7
R000003,Bangers and mash,628,99-86-5
R000003,Bangers and mash,118,821-55-6
R000003,Bangers and mash,643,91-10-1
R000003,Bangers and mash,136,123-51-3
R000003,Bangers and mash,108,78-84-2
R000003,Bangers and mash,143,35044-68-9
R000003,Bangers and mash,657,124-13-0
R000003,Bangers and mash,667,15707-23-0
R000003,Bangers and mash,794,689-67-8
R000003,Bangers and mash,158,112-80-1
R000003,Bangers and mash,159,6789-80-6
R000003,Bangers and mash,673,123-35-3
R000003,Bangers and mash,675,18409-17-1
R000003,Bangers and mash,165,97-53-0
R000003,Bangers and mash,166,112-30-1
R000003,Bangers and mash,174,623-42-7
R000003,Bangers and mash,177,127-91-3
R000003,Bangers and mash,183,141-79-7
R000003,Bangers and mash,703,98-01-1
R000003,Bangers and mash,704,10482-56-1
R000003,Bangers and mash,800,109-94-4
R000003,Bangers and mash,198,109-52-4
R000003,Bangers and mash,199,2463-77-6
R000003,Bangers and mash,972,1669-44-9
R000003,Bangers and mash,203,3391-86-4
R000003,Bangers and mash,204,106-44-5
R000003,Bangers and mash,719,79-09-4
R000003,Bangers and mash,211,13360-64-0
R000003,Bangers and mash,215,65-85-0
R000003,Bangers and mash,218,705-86-2
R000003,Bangers and mash,220,3208-16-0
R000003,Bangers and mash,890,14667-55-1
R000003,Bangers and mash,734,122-78-1
R000003,Bangers and mash,37,122-00-9
R000003,Bangers and mash,737,103-82-2
R000003,Bangers and mash,229,57-10-3
R000003,Bangers and mash,742,74-93-1
R000003,Bangers and mash,231,3149-28-8
R000003,Bangers and mash,748,111-61-5
R000003,Bangers and mash,978,106-68-3
R000003,Bangers and mash,241,706-14-9
R000003,Bangers and mash,243,142-62-1
R000003,Bangers and mash,756,589-98-0
R000003,Bangers and mash,249,110-86-1
R000003,Bangers and mash,764,96-17-3
R000003,Bangers and mash,811,544-63-8
R000003,Bangers and mash,772,590-86-3
R000003,Bangers and mash,813,698-76-0
R000003,Bangers and mash,273,80-26-2
R000003,Bangers and mash,786,616-25-1
R000003,Bangers and mash,275,143-07-7
R000003,Bangers and mash,793,99-83-2
R000003,Bangers and mash,282,121-33-5
R000003,Bangers and mash,798,111-27-3
R000003,Bangers and mash,288,71-36-3
R000003,Bangers and mash,292,111-87-5
R000003,Bangers and mash,806,78-83-1
R000003,Bangers and mash,295,93-15-2
R000003,Bangers and mash,298,64-18-6
R000003,Bangers and mash,299,112-05-0
R000003,Bangers and mash,301,106-32-1
R000003,Bangers and mash,818,3188-00-9
R000003,Bangers and mash,822,90-02-8
R000003,Bangers and mash,827,497-03-0
R000003,Bangers and mash,317,141-78-6
R000003,Bangers and mash,322,67-64-1
R000003,Bangers and mash,841,32736-91-7
R000003,Bangers and mash,333,110-19-0
R000003,Bangers and mash,847,119-36-8
R000003,Bangers and mash,1080,774-64-1
R000003,Bangers and mash,338,98-00-0
R000003,Bangers and mash,340,90-12-0
R000003,Bangers and mash,346,23696-85-7
R000003,Bangers and mash,867,101-41-7
R000003,Bangers and mash,357,79-31-2
R000003,Bangers and mash,358,334-48-5
R000003,Bangers and mash,871,23747-48-0
R000003,Bangers and mash,361,586-62-9
R000003,Bangers and mash,378,546-79-2
R000003,Bangers and mash,893,600-14-6
R000003,Bangers and mash,384,116-53-0
R000003,Bangers and mash,909,110-43-0
R000003,Bangers and mash,398,108-29-2
R000003,Bangers and mash,911,1122-62-9
R000003,Bangers and mash,400,111-70-6
R000003,Bangers and mash,913,107-92-6
