Compound Id,CAS Number,
1622,26896-18-4,
1623,28351-04-04,
1624,0124-07-02,
1625,41114-00-5,
1626,0143-07-07,
1627,123-30-8,
1628,51644-96-3,
1629,53584-56-8,
1630,823-19-8,
1631,17699-14-8,
1632,13679-41-9,
1633,20307-83-9,
1634,22539-72-6,
1635,4971-56-6,
1636,5129-72-6,
1637,609-41-6,
1638,459-80-3,
1639,51193-78-3,
1640,1470-50-4,
1641,5169-51-7,
1642,18654-81-4,
1643,334-49-6,
1644,6969-16-0,
1645,26444-03-01,
1646,7069-41-2,
1647,1271-19-8,
1648,113486-29-6,
1649,27610-38-4,
1650,50727-94-1,
1651,4613-38-1,
1652,41653-95-6,
1653,24399-19-7,
1654,61444-41-5,
1655,53398-83-7,
1656,53398-80-4,
1657,3681-82-1,
1658,58927-81-4,
1659,53398-78-0,
1660,84434-19-5,
1661,1577-31-7,
1662,1821-29-0,
1663,74298-89-8,
1664,24720-09-0,
1665,20053-88-7,
1666,85554-69-4,
1667,763-93-9,
1668,15192-80-0,
1669,69065-31-2,
1670,132-64-9,
1671,29550-55-8,
1672,2167-14-8,
1673,600-18-0,
1674,63095-33-0,
1675,62-53-3,
1676,15764-16-6,
1677,39741-41-8,
1678,74-89-5,
1679,75-04-7,
1680,75-08-1,
1681,2026-48-4,
1682,10321-71-8,
1683,38284-27-4,
1684,50306-18-8,
1685,24048-52-0,
1686,23747-46-8,
1687,21661-99-4,
1688,774-64-1,
1689,65518-46-9,
1690,53398-76-8,
1691,300595-03-3,
1692,0431-03-08,
1693,10588-10-0,
1694,99-84-3,
1695,214222-47-6,
1696,768-44-5,
1697,90-00-6,
1698,91-62-3,
1699,91-63-4,
1700,1124-20-5,
1701,143797-42-6,
1702,95-53-4,
1703,98-06-6,
1704,1515-95-3,
1705,98-82-8,
1706,100-43-6,
1707,100-61-8,
1708,100-71-0,
1709,103-69-5,
1710,103-79-7,
1711,103-83-3,
1712,51-45-6,
1713,105-21-5,
1714,105-30-6,
1715,0107-02-08,
1716,79869-58-2,
1717,0107-10-8,
1718,108-89-4,
1719,108-94-1,
1720,108-99-6,
1721,0109-06-08,
1722,5888-51-7,
1723,110-00-9,
1724,0110-02-01,
1725,0111-11-5,
1726,7314-44-5,
1727,112-61-8,
1728,112-72-1,
1729,112-92-5,
1730,119-64-2,
1731,0135-01-03,
1732,149-57-5,
1733,18138-03-09,
1734,0140-11-4,
1735,106-22-9,
1736,0143-08-08,
1737,25103-23-5,
1738,24323-21-5,
1739,644-30-4,
