Recipe ID,Recipe Name,shared_molecule_Compound_ID
R0000066,Easy Devonshire Cream,798
R0000067,Irish Bacon and Cabbage Soup,384
R0000067,Irish Bacon and Cabbage Soup,34
R0000067,Irish Bacon and Cabbage Soup,645
R0000067,Irish Bacon and Cabbage Soup,586
R0000067,Irish Bacon and Cabbage Soup,235
R0000067,Irish Bacon and Cabbage Soup,556
R0000067,Irish Bacon and Cabbage Soup,786
R0000067,Irish Bacon and Cabbage Soup,761
R0000067,Irish Bacon and Cabbage Soup,90
R0000067,Irish Bacon and Cabbage Soup,798
R0000067,Irish Bacon and Cabbage Soup,703
R0000068,Langoustines with lemon & pepper butter,645
R0000068,Langoustines with lemon & pepper butter,586
R0000068,Langoustines with lemon & pepper butter,235
R0000068,Langoustines with lemon & pepper butter,556
R0000068,Langoustines with lemon & pepper butter,786
R0000068,Langoustines with lemon & pepper butter,338
R0000068,Langoustines with lemon & pepper butter,761
R0000068,Langoustines with lemon & pepper butter,798
R0000068,Langoustines with lemon & pepper butter,703
R0000069,Eggs Benedict,645
R0000069,Eggs Benedict,1401
R0000069,Eggs Benedict,586
R0000069,Eggs Benedict,235
R0000069,Eggs Benedict,556
R0000069,Eggs Benedict,1070
R0000069,Eggs Benedict,786
R0000069,Eggs Benedict,338
R0000069,Eggs Benedict,761
R0000069,Eggs Benedict,90
R0000069,Eggs Benedict,798
R0000069,Eggs Benedict,703
R0000070,Simple soda bread,786
R0000070,Simple soda bread,556
R0000070,Simple soda bread,90
R0000071,Chicken in a pot,384
R0000071,Chicken in a pot,34
R0000071,Chicken in a pot,645
R0000071,Chicken in a pot,586
R0000071,Chicken in a pot,235
R0000071,Chicken in a pot,556
R0000071,Chicken in a pot,786
R0000071,Chicken in a pot,338
R0000071,Chicken in a pot,761
R0000071,Chicken in a pot,798
R0000071,Chicken in a pot,703
R0000072,Vanilla Pudding,384
R0000072,Vanilla Pudding,645
R0000072,Vanilla Pudding,586
R0000072,Vanilla Pudding,235
R0000072,Vanilla Pudding,556
R0000072,Vanilla Pudding,786
R0000072,Vanilla Pudding,338
R0000072,Vanilla Pudding,761
R0000072,Vanilla Pudding,90
R0000072,Vanilla Pudding,798
R0000072,Vanilla Pudding,703
R0000073,Tarragon Chicken Salad Tea Sandwiches,384
R0000073,Tarragon Chicken Salad Tea Sandwiches,645
R0000073,Tarragon Chicken Salad Tea Sandwiches,586
R0000073,Tarragon Chicken Salad Tea Sandwiches,556
R0000073,Tarragon Chicken Salad Tea Sandwiches,786
R0000073,Tarragon Chicken Salad Tea Sandwiches,338
R0000073,Tarragon Chicken Salad Tea Sandwiches,761
R0000073,Tarragon Chicken Salad Tea Sandwiches,90
R0000073,Tarragon Chicken Salad Tea Sandwiches,798
R0000073,Tarragon Chicken Salad Tea Sandwiches,703
R0000074,Prosecco jelly,384
R0000074,Prosecco jelly,645
R0000074,Prosecco jelly,586
R0000074,Prosecco jelly,235
R0000074,Prosecco jelly,556
R0000074,Prosecco jelly,786
R0000074,Prosecco jelly,338
R0000074,Prosecco jelly,761
R0000074,Prosecco jelly,90
R0000074,Prosecco jelly,798
R0000074,Prosecco jelly,703
R0000075,Whitebait & dill mayo,645
R0000075,Whitebait & dill mayo,586
R0000075,Whitebait & dill mayo,235
R0000075,Whitebait & dill mayo,556
R0000075,Whitebait & dill mayo,786
R0000075,Whitebait & dill mayo,761
R0000075,Whitebait & dill mayo,90
R0000075,Whitebait & dill mayo,798
R0000075,Whitebait & dill mayo,703
R0000076,"Sliced fennel, orange & almond salad",384
R0000076,"Sliced fennel, orange & almond salad",645
R0000076,"Sliced fennel, orange & almond salad",586
R0000076,"Sliced fennel, orange & almond salad",235
R0000076,"Sliced fennel, orange & almond salad",786
R0000076,"Sliced fennel, orange & almond salad",630
R0000076,"Sliced fennel, orange & almond salad",761
R0000076,"Sliced fennel, orange & almond salad",90
R0000076,"Sliced fennel, orange & almond salad",798
R0000076,"Sliced fennel, orange & almond salad",703
R0000077,Watermelon & feta salad,384
R0000077,Watermelon & feta salad,645
R0000077,Watermelon & feta salad,235
R0000077,Watermelon & feta salad,556
R0000077,Watermelon & feta salad,786
R0000077,Watermelon & feta salad,338
R0000077,Watermelon & feta salad,761
R0000077,Watermelon & feta salad,90
R0000077,Watermelon & feta salad,798
R0000077,Watermelon & feta salad,703
R0000078,Mini vegan doughnuts,384
R0000078,Mini vegan doughnuts,645
R0000078,Mini vegan doughnuts,586
R0000078,Mini vegan doughnuts,235
R0000078,Mini vegan doughnuts,556
R0000078,Mini vegan doughnuts,786
R0000078,Mini vegan doughnuts,338
R0000078,Mini vegan doughnuts,630
R0000078,Mini vegan doughnuts,761
R0000078,Mini vegan doughnuts,798
R0000078,Mini vegan doughnuts,703
R0000079,citrus shortbread,645
R0000079,citrus shortbread,586
R0000079,citrus shortbread,235
R0000079,citrus shortbread,556
R0000079,citrus shortbread,786
R0000079,citrus shortbread,630
R0000079,citrus shortbread,761
R0000079,citrus shortbread,798
R0000079,citrus shortbread,703
R0000080,Potato Candy,384
R0000080,Potato Candy,645
R0000080,Potato Candy,586
R0000080,Potato Candy,556
R0000080,Potato Candy,338
R0000080,Potato Candy,761
R0000080,Potato Candy,798
R0000080,Potato Candy,703
R0000081,PassionFruit Melting Moments,761
R0000081,PassionFruit Melting Moments,556
R0000081,PassionFruit Melting Moments,645
R0000081,PassionFruit Melting Moments,798
R0000082,Winter pea & bean braise,384
R0000082,Winter pea & bean braise,645
R0000082,Winter pea & bean braise,586
R0000082,Winter pea & bean braise,235
R0000082,Winter pea & bean braise,556
R0000082,Winter pea & bean braise,786
R0000082,Winter pea & bean braise,338
R0000082,Winter pea & bean braise,761
R0000082,Winter pea & bean braise,90
R0000082,Winter pea & bean braise,798
R0000083,Chicken wellingtons with creamy pea sauce,645
R0000083,Chicken wellingtons with creamy pea sauce,235
R0000083,Chicken wellingtons with creamy pea sauce,556
R0000083,Chicken wellingtons with creamy pea sauce,786
R0000083,Chicken wellingtons with creamy pea sauce,338
R0000083,Chicken wellingtons with creamy pea sauce,761
R0000083,Chicken wellingtons with creamy pea sauce,90
R0000083,Chicken wellingtons with creamy pea sauce,798
R0000083,Chicken wellingtons with creamy pea sauce,703
R0000084,Spiced raisin rice pudding,384
R0000084,Spiced raisin rice pudding,645
R0000084,Spiced raisin rice pudding,586
R0000084,Spiced raisin rice pudding,235
R0000084,Spiced raisin rice pudding,556
R0000084,Spiced raisin rice pudding,786
R0000084,Spiced raisin rice pudding,338
R0000084,Spiced raisin rice pudding,761
R0000084,Spiced raisin rice pudding,90
R0000084,Spiced raisin rice pudding,798
R0000084,Spiced raisin rice pudding,703
R0000085,Pumpkin and prosciutto lasagne,645
R0000085,Pumpkin and prosciutto lasagne,1401
R0000085,Pumpkin and prosciutto lasagne,235
R0000085,Pumpkin and prosciutto lasagne,1070
R0000085,Pumpkin and prosciutto lasagne,786
R0000085,Pumpkin and prosciutto lasagne,761
R0000085,Pumpkin and prosciutto lasagne,90
R0000085,Pumpkin and prosciutto lasagne,798
R0000086,Potato Crisps,384
R0000086,Potato Crisps,586
R0000086,Potato Crisps,556
R0000086,Potato Crisps,786
R0000086,Potato Crisps,798
R0000086,Potato Crisps,703
R0000087,Bacon and cheese nachos,384
R0000087,Bacon and cheese nachos,34
R0000087,Bacon and cheese nachos,645
R0000087,Bacon and cheese nachos,586
R0000087,Bacon and cheese nachos,235
R0000087,Bacon and cheese nachos,556
R0000087,Bacon and cheese nachos,786
R0000087,Bacon and cheese nachos,338
R0000087,Bacon and cheese nachos,761
R0000087,Bacon and cheese nachos,90
R0000087,Bacon and cheese nachos,798
R0000087,Bacon and cheese nachos,703
R0000088,Colcannon,384
R0000088,Colcannon,645
R0000088,Colcannon,586
R0000088,Colcannon,235
R0000088,Colcannon,556
R0000088,Colcannon,786
R0000088,Colcannon,338
R0000088,Colcannon,761
R0000088,Colcannon,90
